cameraid,frameid,framenum,filename,cameratranslation,camerarotation,cameraintrinsic,egotranslation,egorotation,timestamp,cameraheading,egoheading
scene-0878,28fe1300930344969ebdaad088be9c9d,1,samples/CAM_FRONT/n008-2018-09-18-14-54-39-0400__CAM_FRONT__1537297212412404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080A1EEECF859219640DC5C67AEABA193400000000000000000,"{0.96799916,-0.0013719082,0.003724369,-0.2509221}",2018-09-18 12:00:12.412404+00,-118.476326,-119.064224
scene-0738,bd38d586a9d14e68866f40b684da3a3a,1,samples/CAM_FRONT/n008-2018-08-29-16-04-13-0400__CAM_FRONT__1535574120262404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000805766DAE2D12F9C4053F4EE291C7492400000000000000000,"{0.89656466,0.00635848,-0.005370261,-0.44283468}",2018-08-29 13:22:00.262404+00,-141.98093,-142.56882
scene-0738,4dc991ef7fb54306afaae0b95446191d,2,samples/CAM_FRONT/n008-2018-08-29-16-04-13-0400__CAM_FRONT__1535574120762404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080C47A02DEE5389C40FFB0D783BF6792400000000000000000,"{0.88926065,0.006753519,-0.0085202465,-0.4572716}",2018-08-29 13:22:00.762404+00,-143.83539,-144.42328
scene-0738,c151a28563934063b8503eb2ff8a368a,3,samples/CAM_FRONT/n008-2018-08-29-16-04-13-0400__CAM_FRONT__1535574128262404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080968242DEF2CF9C40292DCF7C0A8791400000000000000000,"{0.8877766,0.0055811,-0.0012136544,-0.46023908}",2018-08-29 13:22:08.262404+00,-144.21631,-144.8042
scene-0294,17a8d67f9a14435da91a45c099867b65,1,samples/CAM_FRONT/n008-2018-08-31-11-19-57-0400__CAM_FRONT__1535729164012404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080ECA9509BACC27E40EEB1669A6DBC98400000000000000000,"{-0.26592523,0.00089247257,-0.0064275726,-0.9639718}",2018-08-31 08:26:04.012404+00,59.743984,59.156086
scene-0294,9baa1ce610cf4bfba6e4d5de6f190ab5,2,samples/CAM_FRONT/n008-2018-08-31-11-19-57-0400__CAM_FRONT__1535729166512404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080E06B798AAA8C7D407612E0C678EB98400000000000000000,"{-0.26425463,0.0043897657,-0.005554475,-0.964427}",2018-08-31 08:26:06.512404+00,59.939713,59.351814
scene-0294,6803f2dc1f464697810d544c8a86c3dc,3,samples/CAM_FRONT/n008-2018-08-31-11-19-57-0400__CAM_FRONT__1535729168112404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080C8499FE59EDA7C403CF713CB840699400000000000000000,"{-0.2664322,0.0022831573,-0.01133096,-0.96378434}",2018-08-31 08:26:08.112404+00,59.68272,59.094822
scene-0638,05751448f05f4358a76853db9cc3e73c,1,samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537296203162404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080FDC8FFC4EE7A9740176E83C7E94695400000000000000000,"{0.29859242,0.00075062487,0.0019197678,-0.9543785}",2018-09-18 11:43:23.162404+00,125.33417,124.74627
scene-0638,864b25105c2b4599b29829ac4a5d6ac6,2,samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537296203662404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",010100008039F9A426AE739740FA7BF327304195400000000000000000,"{0.36735213,0.0041615255,0.0015341839,-0.93007135}",2018-09-18 11:43:23.662404+00,133.69427,133.10638
scene-0638,f183b472ab544f59ac2da78d8ed83c66,3,samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537296204162512.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",010100008028D6F374516D974020363DE6AA3A95400000000000000000,"{0.4191253,0.0018919135,0.0022427288,-0.90792364}",2018-09-18 11:43:24.162512+00,140.14713,139.55923
