itemid,cameraid,objecttype,color,trajcentroids,largestbbox,itemheadings
faf5a1c0630840339ff84fb0c8dac38a,scene-0062,vehicle.car,default_color,"{[01010000803264C1EF5B35A1400A41F29FEF768840F8D478E92631C0BF@2018-08-01 12:54:13.912404+00, 0101000080ABA63B293435A140DA449FB88076884090438B6CE7FBB9BF@2018-08-01 12:54:14.412404+00, 0101000080133829A63335A140A4BB5D589B768840385EBA490C02C33F@2018-08-01 12:54:17.412404+00, 0101000080B9D3EDC62335A1406C321CF8B5768840385EBA490C02C33F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2202.4963544806683,780.4246822892205,-0.12649999999999983),(2202.6753996851626,785.2482983019053,0.14850000000000008))","{[275.0299999888107@2018-08-01 12:54:13.912404+00, 272.5299999888107@2018-08-01 12:54:14.412404+00, 272.5299999888107@2018-08-01 12:54:18.862404+00]}"
7c1e718215a64160994b5dd294c645d8,scene-0062,vehicle.car,default_color,"{[01010000800E72511E6524A140B4912B3DE0738840C876BE9F1A2FBDBF@2018-08-01 12:54:13.912404+00, 01010000804C7C28C21524A14084B406375F73884000AAF1D24D62B0BF@2018-08-01 12:54:14.412404+00, 010100008022F511E94624A1407006BF55E471884068BC74931804B63F@2018-08-01 12:54:17.412404+00, 0101000080C690D6093724A140AABA87CCA272884068105839B4C8B6BF@2018-08-01 12:54:18.862404+00]}","STBOX Z((2194.048035215407,779.9859984875025,-0.11399999999999999),(2194.1919586527974,784.7349848582617,0.08599999999999997))","{[270.1409999843595@2018-08-01 12:54:13.912404+00, 270.1409999843595@2018-08-01 12:54:18.862404+00]}"
7a83d5871e634e8ab0185c7b96b90cd3,scene-0062,movable_object.trafficcone,default_color,"{[01010000800059D740B6D1A0402AA9A412B94288409FEFA7C64B37DD3F@2018-08-01 12:54:17.412404+00, 010100008007FEFF48ABD1A04040113D26124288409FEFA7C64B37DD3F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2152.8296630089053,776.139479315536,0.4565000000000001),(2152.839419632237,776.4868098023298,0.4565000000000001))","{[61.773999999798775@2018-08-01 12:54:17.412404+00, 88.77399999979883@2018-08-01 12:54:18.862404+00]}"
e0a68b07a9724881b7bd8f0555b276e6,scene-0062,movable_object.trafficcone,default_color,{[0101000080DC164C3474A3A040105B49C3304188402EDD24068195D73F@2018-08-01 12:54:18.862404+00]},"STBOX Z((2129.7251605224405,776.0508265294251,0.36849999999999994),(2129.7287624698656,776.246793429627,0.36849999999999994))",{[268.94699998141755@2018-08-01 12:54:18.862404+00]}
9e3544a0aad940078123ed7764a9c541,scene-0062,movable_object.trafficcone,default_color,"{[0101000080569B26AB9CC6A0401C01ABC37F4C884048B6F3FDD478D13F@2018-08-01 12:54:14.412404+00, 0101000080569B26AB9CC6A0401C01ABC37F4C884048B6F3FDD478D13F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2147.305298129127,777.4788878194616,0.27300000000000013),(2147.306688424946,777.6458820321683,0.27300000000000013))","{[269.52299998270837@2018-08-01 12:54:14.412404+00, 269.52299998270837@2018-08-01 12:54:18.862404+00]}"
bfe5889c3156478d901a6e8f708394a9,scene-0062,movable_object.trafficcone,default_color,{[01010000809248F46AC7C3A040B03CE27E2B4C884030B29DEFA7C6CB3F@2018-08-01 12:54:18.862404+00]},"STBOX Z((2145.8878458712816,777.3697470037649,0.21700000000000008),(2145.8911298707894,777.6727292067856,0.21700000000000008))",{[270.6209999858687@2018-08-01 12:54:18.862404+00]}
b541ad81b38445c9b4ae73a8af1db3bd,scene-0062,movable_object.trafficcone,default_color,{[01010000808410A241B77FA04038072E0F623D8840921804560E2DDE3F@2018-08-01 12:54:18.862404+00]},"STBOX Z((2111.854003111115,775.5179300800908,0.4714999999999999),(2111.861842119972,775.8278309512417,0.4714999999999999))",{[268.5509999892212@2018-08-01 12:54:18.862404+00]}
94f73aab72224421ac077eb9819114ae,scene-0062,vehicle.truck,default_color,"{[0101000080501E5DE127EAA0402A79ABB8D95F8840901804560E2DB23F@2018-08-01 12:54:13.912404+00, 0101000080E88C6F6428EAA040702F9FB6AE5F8840007F6ABC7493B83F@2018-08-01 12:54:14.412404+00, 0101000080381A07D3FAE9A040F8457885A65F884060643BDF4F8DA73F@2018-08-01 12:54:17.412404+00, 01010000800C93F0F9EBE9A040CA93DA95FE5E88406091ED7C3F35AE3F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2162.182298526805,779.736663333743,0.04600000000000004),(2167.8574840010237,780.1189551882053,0.09600000000000009))","{[182.83599998553316@2018-08-01 12:54:13.912404+00, 182.83599998553316@2018-08-01 12:54:18.862404+00]}"
a2bb049bf3ab4df984f115e8d830c7cf,scene-0062,movable_object.trafficcone,default_color,{[010100008042AEBFB19D92A04030F28D4FC23F884096438B6CE7FBDD3F@2018-08-01 12:54:18.862404+00]},"STBOX Z((2121.3073748655775,775.862880107779,0.4685),(2121.3086186151468,776.0768764934658,0.4685))",{[269.6669999894223@2018-08-01 12:54:18.862404+00]}
61fc731c7c2b469eb387848a944a6991,scene-0062,movable_object.trafficcone,default_color,"{[0101000080280CAF3ECAD2A04048A9209265438840032B8716D9CEDB3F@2018-08-01 12:54:17.412404+00, 010100008012A61FC985D2A040279CC9A127448840365EBA490C02DF3F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2153.3213202759016,776.4431506638093,0.43450000000000005),(2153.396319807724,776.5215862719145,0.48450000000000004))","{[90.77399999979883@2018-08-01 12:54:17.412404+00, 51.773999999798775@2018-08-01 12:54:18.862404+00]}"
3bc34390028042a08fd92e123b7cc8d2,scene-0062,vehicle.truck,default_color,"{[01010000809AD82D1988CBA040B91A8504625B884014AE47E17A14CE3F@2018-08-01 12:54:13.912404+00, 0101000080A805E0B677CBA040D3496229685B8840723D0AD7A370D53F@2018-08-01 12:54:14.412404+00, 010100008026F09B0C4FCBA0403537073C865A884010AC1C5A643BAF3F@2018-08-01 12:54:17.412404+00, 0101000080D01E6CC45BCBA040F643CD7C965A884094C420B07268C13F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2147.2834979883673,779.2184463324746,0.061000000000000054),(2152.1359618229517,779.4895390488023,0.3350000000000001))","{[181.53899999518862@2018-08-01 12:54:13.912404+00, 181.53899999518862@2018-08-01 12:54:14.412404+00, 180.5389999951886@2018-08-01 12:54:17.412404+00, 182.5389999951886@2018-08-01 12:54:18.862404+00]}"
296e7cae172b412a8759854d1fd8569a,scene-0062,vehicle.car,default_color,"{[0101000080BCA73AC8AE0EA1402052385D7272884080EB51B81E85CBBF@2018-08-01 12:54:13.912404+00, 0101000080A3ECB83C800EA1407CAC917A4D738840B0490C022B87B6BF@2018-08-01 12:54:14.412404+00, 01010000800286F154480EA140D8BD06E6E271884080E9263108AC8C3F@2018-08-01 12:54:17.412404+00, 01010000808871430D670EA14000EF0E92FF718840007F6ABC7493883F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2183.203879194111,779.0924136991869,-0.21499999999999986),(2183.3885056493355,785.5567305522646,0.014000000000000012))","{[269.1409999843595@2018-08-01 12:54:13.912404+00, 269.54099998435953@2018-08-01 12:54:14.412404+00, 271.1409999843595@2018-08-01 12:54:17.412404+00, 271.1409999843595@2018-08-01 12:54:18.862404+00]}"
f6ec0c88848e447d8e24acb90c0e9bdb,scene-0062,movable_object.trafficcone,default_color,"{[0101000080CBE5EC8EA3BBA04090503599385388401804560E2DB2DD3F@2018-08-01 12:54:17.412404+00, 0101000080FD16FD55BFBBA0405A6F4AA3635388404C37894160E5D83F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2141.7700751247635,778.3238251820485,0.389),(2141.8947293141305,778.5142431864714,0.46399999999999997))","{[237.93299997935594@2018-08-01 12:54:17.412404+00, 256.93299997935577@2018-08-01 12:54:18.862404+00]}"
2d4eb161afa1425dac77e1cf16683287,scene-0062,vehicle.car,default_color,"{[0101000080ACFDA444852AA140CA8F70044F758840FC7E6ABC7493C0BF@2018-08-01 12:54:13.912404+00, 01010000808C4D32DC732AA14048FA2C79E274884018AE47E17A14BEBF@2018-08-01 12:54:14.412404+00, 01010000806A9DBF73622AA140C864E9ED75748840706891ED7C3FCD3F@2018-08-01 12:54:17.412404+00, 01010000806A9DBF73622AA140C864E9ED75748840F8D478E92631B83F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2197.155435038998,780.325043644501,-0.12950000000000006),(2197.2971436428825,784.8961217290877,0.22849999999999993))","{[272.6889999845439@2018-08-01 12:54:13.912404+00, 272.6889999845439@2018-08-01 12:54:18.862404+00]}"
b2237317c4754f82bfe81a7fc8111f64,scene-0062,movable_object.trafficcone,default_color,{[01010000802456C4649CAFA040D9AD83C6B23E88402A5C8FC2F528DC3F@2018-08-01 12:54:18.862404+00]},"STBOX Z((2135.800489020044,775.5698388218028,0.44000000000000006),(2135.8104235614283,776.1047465754272,0.44000000000000006))",{[268.9359999816355@2018-08-01 12:54:18.862404+00]}
f2a125d9f98145bbbeb72ef128788edb,scene-0062,movable_object.trafficcone,default_color,"{[0101000080627DD8CFA3C9A0406877B9E7CA4A88409C438B6CE7FBC13F@2018-08-01 12:54:17.412404+00, 0101000080B6D98F418BC9A040AC61D3F6874A88406CE7FBA9F1D2C53F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2148.7704839909634,777.1893976168785,0.14050000000000018),(2148.8227754347918,777.4760432496445,0.17049999999999998))","{[268.7229999827084@2018-08-01 12:54:17.412404+00, 269.3229999827083@2018-08-01 12:54:18.862404+00]}"
fdfe8cf1f6834f7ea4fb47584e7a7206,scene-0062,movable_object.trafficcone,default_color,"{[01010000801E154A50A9CBA040D4F422B0C8478840B01C5A643BDFC73F@2018-08-01 12:54:17.412404+00, 010100008028ECEDC0A6CBA040D4F422B0C8478840B01C5A643BDFC73F@2018-08-01 12:54:18.862404+00]}","STBOX Z((2149.649006297906,776.9442932914257,0.1865000000000001),(2150.00737507088,777.0016911161833,0.1865000000000001))","{[189.2259999995306@2018-08-01 12:54:17.412404+00, 189.2259999995306@2018-08-01 12:54:18.862404+00]}"
94e80b2db3f740a8b2ce29b15a466ec2,scene-0062,vehicle.car,default_color,"{[0101000080989B089AB9A6A140007867B854798840901804560E2DA23F@2018-08-01 12:54:13.912404+00, 0101000080989B089AB9A6A1405C072AAE7D7A8840205C8FC2F5289C3F@2018-08-01 12:54:14.412404+00, 0101000080989B089AB9A6A140545B0D54197B8840345EBA490C02DF3F@2018-08-01 12:54:17.412404+00]}","STBOX Z((2259.3563068372814,780.9218751347701,0.02749999999999997),(2259.368699779298,785.6318595613312,0.48449999999999993))","{[90.14400000422029@2018-08-01 12:54:13.912404+00, 90.14400000422029@2018-08-01 12:54:17.412404+00]}"
